        t [s]          omega [1/s]
        0.123              0.25444
        0.347              0.31411
        0.513              0.47358
        0.635              0.56781
        0.734              0.72323
        0.818              0.77511
        0.895              0.86350
        0.964              0.94995
        1.029              0.99909
        1.091              1.02739
        1.149              1.13880
        1.204              1.14374
        1.257              1.22823
        1.305              1.38546
        1.352              1.29432
        1.401              1.27941
        1.448              1.40201
        1.492              1.47520
        1.534              1.49247
        1.575              1.55040
        1.615              1.59141
        1.654              1.65332
        1.692              1.67706
        1.729              1.67250
        1.766              1.72937
        1.802              1.78951
        1.837              1.81657
        1.871              1.80785
        1.906              1.84755
        1.939              1.93515
        1.971              1.94681
        2.003              1.98128
        2.035              1.97731
        2.066              2.05791
        2.096              2.14955
        2.126              2.00213
        2.157              2.16488
        2.185              2.22166
        2.214              2.18386
        2.242              2.31288
        2.269              2.26317
        2.297              2.23563
        2.325              2.31789
        2.352              2.30329
        2.379              2.43164
        2.405              2.36363
        2.431              2.39413
        2.457              2.39558
        2.483              2.48730
        2.508              2.49259
        2.533              2.56263
        2.558              2.51830
        2.583              2.57513
        2.607              2.61273
        2.631              2.64696
        2.655              2.59330
        2.678              2.73194
        2.702              2.57054
        2.726              2.80125
        2.748              2.69307
        2.772              2.75219
        2.794              2.79529
        2.816              2.96534
        2.838              2.74072
        2.861              2.83611
        2.883              2.85904
        2.905              2.86746
        2.927              2.87065
        2.948              2.92816
        2.970              2.96405
        2.990              3.04310
        3.011              3.02456
        3.032              3.02139
        3.053              2.95401
        3.074              3.02590
        3.095              3.05874
        3.115              3.07215
        3.135              3.11323
        3.156              3.13052
        3.176              3.17225
        3.195              3.21304
        3.215              3.18316
        3.235              3.14339
        3.255              3.18343
        3.274              3.27880
        3.293              3.25800
        3.313              3.24713
        3.332              3.31960
        3.351              3.34956
        3.369              3.31886
        3.388              3.32726
        3.407              3.36958
        3.426              3.38372
        3.444              3.31417
        3.463              3.49770
        3.481              3.46057
        3.500              3.28555
        3.518              3.70258
        3.535              3.52816
        3.553              3.45022
        3.571              3.51641
        3.589              3.63631
        3.606              3.56642
        3.624              3.41268
        3.642              3.73597
        3.659              3.58827
        3.676              3.65101
        3.693              3.72836
        3.710              3.68221
        3.728              3.57919
        3.745              3.77093
        3.762              3.62628
        3.779              3.74269
        3.795              4.07622
        3.811              3.68492
        3.829              3.52799
        3.846              3.75901
        3.862              3.84283
        3.879              3.79037
        3.895              3.85350
        3.911              3.86741
        3.928              3.93212
        3.944              3.91589
        3.960              3.83850
        3.976              3.89271
        3.992              3.96225
        4.008              3.96498
        4.024              3.88042
        4.040              3.90956
        4.056              4.04193
        4.071              4.01058
        4.087              4.02955
        4.103              3.97507
        4.118              4.08822
        4.134              4.21131
        4.149              3.89170
        4.165              4.17217
        4.180              4.22985
        4.195              4.11425
        4.210              4.33126
        4.224              4.20211
        4.239              4.10748
        4.255              4.21866
        4.270              4.16661
        4.284              4.35137
        4.299              4.20824
        4.314              4.22579
        4.329              4.20093
        4.344              4.32476
        4.358              4.31109
        4.373              4.39912
        4.387              4.29626
        4.401              4.36683
        4.416              4.40403
        4.430              4.43293
        4.444              4.31804
        4.459              4.52634
        4.473              4.23391
        4.487              4.58952
        4.501              4.38753
        4.515              4.46302
        4.529              4.50458
        4.543              4.76180
        4.557              4.37856
        4.571              4.50838
        4.585              4.52743
        4.599              4.51925
        4.613              4.50215
        4.626              4.57551
        4.640              4.61097
        4.654              4.71508
        4.667              4.66433
        4.681              4.64295
        4.694              4.52634
        4.708              4.61551
        4.722              4.64410
        4.735              4.65391
        4.749              4.69618
        4.762              4.70857
        4.775              4.75244
        4.788              4.79193
        4.802              4.74042
        4.815              4.65448
        4.828              4.71330
        4.841              4.83988
        4.855              4.77697
        4.868              4.75999
        4.881              4.85618
        4.894              4.88212
        4.907              4.81285
        4.920              4.81501
        4.933              4.87006
        4.946              4.87038
        4.959              4.75576
        4.972              5.00232
        4.984              4.94361
        4.997              4.67684
        5.010              5.25993
        5.022              4.99399
        5.035              4.87735

