        t [s]          omega [1/s]
        0.390              0.08059
        1.165              0.08152
        1.789              0.13177
        2.216              0.16648
        2.572              0.18754
        2.883              0.21861
        3.167              0.22373
        3.428              0.26167
        3.667              0.26499
        3.895              0.28475
        4.110              0.30134
        4.309              0.33186
        4.503              0.31706
        4.694              0.33897
        4.876              0.35219
        5.052              0.36226
        5.223              0.37188
        5.389              0.38737
        5.549              0.39956
        5.703              0.41764
        5.852              0.42234
        6.000              0.42875
        6.147              0.42550
        6.292              0.44119
        6.433              0.45014
        6.572              0.45578
        6.708              0.46584
        6.842              0.47199
        6.974              0.48335
        7.102              0.49324
        7.230              0.49403
        7.357              0.49181
        7.484              0.50264
        7.606              0.52235
        7.727              0.52177
        7.847              0.52552
        7.964              0.54098
        8.080              0.54985
        8.194              0.54993
        8.307              0.55606
        8.419              0.56795
        8.529              0.57513
        8.639              0.56776
        8.747              0.60303
        8.851              0.60047
        8.958              0.57466
        9.061              0.65346
        9.159              0.62642
        9.260              0.61739
        9.361              0.63324
        9.458              0.65968
        9.554              0.65206
        9.652              0.62857
        9.747              0.69332
        9.839              0.67011
        9.932              0.68651
       10.022              0.70554
       10.111              0.70034
       10.202              0.68484
       10.291              0.72628
       10.379              0.70229
       10.467              0.72839
       10.550              0.79786
       10.632              0.72546
       10.721              0.69860
       10.808              0.74716
       10.891              0.76761
       10.973              0.76145
       11.055              0.77686
       11.135              0.78359
       11.214              0.80061
       11.293              0.80020
       11.372              0.78720
       11.451              0.80197
       11.529              0.82067
       11.605              0.82318
       11.682              0.81089
       11.759              0.81780
       11.835              0.84861
       11.909              0.84423
       11.983              0.85078
       12.057              0.83926
       12.131              0.86632
       12.202              0.89325
       12.276              0.82412
       12.350              0.87895
       12.421              0.89200
       12.492              0.86673
       12.563              0.90856
       12.633              0.87995
       12.705              0.86133
       12.777              0.88139
       12.849              0.86909
       12.920              0.90760
       12.990              0.87676
       13.062              0.87857
       13.134              0.87271
       13.205              0.89714
       13.275              0.89149
       13.345              0.90778
       13.415              0.88427
       13.486              0.89715
       13.555              0.90195
       13.625              0.90531
       13.695              0.87874
       13.765              0.91799
       13.836              0.85510
       13.907              0.92330
       13.977              0.87860
       14.048              0.89040
       14.118              0.89519
       14.187              0.94394
       14.256              0.86497
       14.328              0.88865
       14.399              0.88968
       14.469              0.88692
       14.540              0.88372
       14.611              0.89669
       14.681              0.90370
       14.750              0.92269
       14.818              0.91562
       14.887              0.91229
       14.956              0.88717
       15.027              0.90632
       15.096              0.91220
       15.164              0.91400
       15.233              0.92242
       15.301              0.92537
       15.368              0.93592
       15.435              0.94442
       15.502              0.93525
       15.570              0.91978
       15.638              0.93054
       15.704              0.95680
       15.770              0.94666
       15.837              0.94285
       15.903              0.96167
       15.968              0.96891
       16.033              0.95714
       16.099              0.95802
       16.164              0.96963
       16.229              0.97090
       16.294              0.95196
       16.358              1.00367
       16.421              0.99218
       16.486              0.94151
       16.549              1.06182
       16.610              1.01022
       16.673              0.98739
       16.736              1.00571
       16.797              1.04008
       16.858              1.02004
       16.921              0.97578
       16.983              1.06890
       17.043              1.02618
       17.104              1.04429
       17.163              1.06690
       17.223              1.05271
       17.283              1.02232
       17.343              1.07822
       17.402              1.03647
       17.462              1.06924
       17.519              1.16404
       17.575              1.05230
       17.636              1.00628
       17.697              1.07205
       17.755              1.09621
       17.813              1.08235
       17.870              1.09909
       17.927              1.10380
       17.984              1.12168
       18.040              1.11630
       18.097              1.09349
       18.154              1.10961
       18.210              1.12791
       18.266              1.12698
       18.322              1.10500
       18.379              1.11226
       18.434              1.14974
       18.489              1.14127
       18.544              1.14601
       18.599              1.12998
       18.654              1.16306
       18.707              1.19906
       18.762              1.10611
       18.817              1.18331
       18.870              1.20207
       18.922              1.17113
       18.975              1.22692
       19.027              1.19373
       19.080              1.16967
       19.133              1.19994
       19.186              1.18424
       19.238              1.23892
       19.289              1.19735
       19.342              1.20148
       19.394              1.19537
       19.446              1.23038
       19.497              1.22580
       19.548              1.25043
       19.599              1.22073
       19.650              1.23917
       19.700              1.24864
       19.750              1.25683
       19.801              1.22398
       19.851              1.28178
       19.902              1.19781
       19.952              1.29802
       20.002              1.23913
       20.052              1.25976
       20.102              1.27063
       20.150              1.34174
       20.199              1.23227
       20.249              1.26657
       20.299              1.27020
       20.348              1.26565
       20.398              1.26004
       20.448              1.27800
       20.497              1.28595
       20.545              1.31252
       20.593              1.29818
       20.642              1.29049
       20.691              1.25475
       20.741              1.27885
       20.790              1.28562
       20.839              1.28701
       20.887              1.29649
       20.936              1.29892
       20.984              1.31133
       21.031              1.32105
       21.079              1.30582
       21.128              1.28138
       21.177              1.29359
       21.225              1.32838
       21.272              1.31252
       21.320              1.30616
       21.368              1.32932
       21.415              1.33557
       21.462              1.31871
       21.510              1.31741
       21.558              1.33074
       21.605              1.33027
       21.653              1.30018
       21.700              1.36676
       21.746              1.34724
       21.794              1.27478
       21.840              1.43346
       21.885              1.36066
       21.932              1.32730
       21.979              1.34792
       22.025              1.39072
       22.071              1.36118
       22.118              1.29935
