        t [s]          omega [1/s]
        0.345              0.09100
        0.950              0.12111
        1.392              0.17147
        1.719              0.21914
        1.991              0.24384
        2.238              0.26563
        2.462              0.29712
        2.668              0.31532
        2.857              0.35019
        3.035              0.35562
        3.208              0.37336
        3.373              0.38760
        3.530              0.41388
        3.679              0.42648
        3.823              0.44964
        3.962              0.45192
        4.098              0.47181
        4.229              0.48863
        4.356              0.50555
        4.480              0.50409
        4.601              0.53932
        4.720              0.51451
        4.836              0.56712
        4.949              0.54984
        5.062              0.56431
        5.172              0.57291
        5.279              0.60860
        5.386              0.56257
        5.496              0.58262
        5.603              0.58817
        5.710              0.59094
        5.816              0.59249
        5.921              0.60508
        6.024              0.61247
        6.125              0.62975
        6.225              0.62690
        6.326              0.62832
        6.427              0.61668
        6.527              0.63339
        6.626              0.64221
        6.723              0.64874
        6.819              0.66069
        6.913              0.66833
        7.007              0.68142
        7.098              0.69292
        7.189              0.69090
        7.280              0.68420
        7.371              0.69641
        7.460              0.72119
        7.547              0.71837
        7.635              0.72014
        7.721              0.73884
        7.805              0.74819
        7.889              0.74471
        7.973              0.75034
        8.056              0.76416
        8.138              0.77047
        8.220              0.76025
        8.301              0.80602
        8.379              0.80179
        8.459              0.76534
        8.536              0.86772
        8.610              0.83029
        8.687              0.81667
        8.763              0.83588
        8.836              0.86850
        8.909              0.85610
        8.984              0.82336
        9.057              0.90675
        9.128              0.87459
        9.199              0.89384
        9.268              0.91744
        9.337              0.90922
        9.407              0.88778
        9.476              0.94030
        9.544              0.90748
        9.612              0.94019
        9.676              1.02795
        9.740              0.93303
        9.809              0.89727
        9.876              0.95893
        9.941              0.98383
       10.005              0.97441
       10.069              0.99292
       10.132              1.00034
       10.194              1.02043
       10.256              1.01903
       10.318              1.00176
       10.380              1.01964
       10.441              1.03987
       10.502              1.04422
       10.562              1.02676
       10.623              1.03559
       10.683              1.07313
       10.742              1.06787
       10.800              1.07514
       10.859              1.06247
       10.917              1.09587
       10.974              1.13213
       11.031              1.04533
       11.090              1.11873
       11.145              1.13799
       11.201              1.10818
       11.257              1.16284
       11.311              1.12777
       11.368              1.10482
       11.424              1.13249
       11.480              1.11810
       11.535              1.16976
       11.589              1.13070
       11.645              1.13393
       11.700              1.12760
       11.755              1.16027
       11.810              1.15464
       11.863              1.17733
       11.918              1.14854
       11.972              1.16586
       12.026              1.17450
       12.079              1.18143
       12.133              1.14903
       12.186              1.20140
       12.240              1.12136
       12.294              1.21312
       12.347              1.15649
       12.401              1.17410
       12.455              1.18357
       12.506              1.24889
       12.559              1.14687
       12.613              1.17972
       12.666              1.18322
       12.719              1.18055
       12.773              1.17585
       12.826              1.19464
       12.878              1.20447
       12.930              1.23144
       12.981              1.21847
       13.033              1.21527
       13.085              1.18333
       13.137              1.20909
       13.189              1.21702
       13.241              1.22003
       13.292              1.23000
       13.343              1.23381
       13.394              1.24781
       13.444              1.25873
       13.494              1.24636
       13.545              1.22484
       13.596              1.23868
       13.646              1.27322
       13.696              1.26010
       13.745              1.25540
       13.795              1.28044
       13.844              1.28845
       13.893              1.27346
       13.942              1.27400
       13.991              1.28790
       14.040              1.29009
       14.089              1.26239
       14.138              1.33116
       14.185              1.31510
       14.234              1.24711
       14.282              1.40517
       14.328              1.33588
       14.375              1.30575
       14.423              1.32822
       14.470              1.37222
       14.516              1.34516
       14.564              1.28520
       14.611              1.40654
       14.656              1.34925
       14.702              1.37192
       14.748              1.39987
       14.793              1.38094
       14.839              1.34133
       14.885              1.41319
       14.930              1.35628
       14.976              1.39806
       15.019              1.52109
       15.062              1.37468
       15.109              1.31427
       15.155              1.39733
       15.200              1.42854
       15.244              1.40939
       15.289              1.43056
       15.332              1.43543
       15.376              1.45782
       15.419              1.44920
       15.463              1.41918
       15.507              1.44054
       15.550              1.46411
       15.593              1.46274
       15.636              1.43302
       15.680              1.44056
       15.723              1.48758
       15.765              1.47642
       15.808              1.48252
       15.851              1.46063
       15.893              1.50361
       15.934              1.54999
       15.976              1.42854
       16.019              1.52523
       16.060              1.54938
       16.101              1.50772
       16.142              1.57994
       16.182              1.52897
       16.224              1.50192
       16.265              1.53652
       16.306              1.51521
       16.347              1.58251
       16.387              1.52931
       16.428              1.53350
       16.469              1.52402
       16.510              1.56864
       16.550              1.56213
       16.590              1.59378
       16.630              1.55439
       16.670              1.57924
       16.710              1.59067
       16.749              1.60086
       16.789              1.55781
       16.828              1.63148
       16.868              1.52601
       16.908              1.65325
       16.946              1.57884
       16.986              1.60446
       17.025              1.61834
       17.063              1.70976
       17.101              1.57064
       17.141              1.61531
       17.179              1.61890
       17.218              1.61295
       17.257              1.60590
       17.296              1.63020
       17.335              1.64048
       17.372              1.67541
       17.410              1.65672
       17.448              1.64783
       17.487              1.60154
       17.526              1.63311
       17.564              1.64199
       17.602              1.64469
       17.640              1.65664
       17.678              1.65936
       17.716              1.67519
       17.753              1.68798
       17.791              1.66859
       17.829              1.63807
       17.867              1.65310
       17.905              1.69730
       17.942              1.67680
       17.979              1.66874
       18.017              1.69869
       18.054              1.70720
       18.091              1.68388
       18.128              1.68297
       18.165              1.70007
       18.202              1.69888
       18.239              1.65950
       18.276              1.74539
       18.313              1.72111
       18.350              1.62709
       18.387              1.82898
       18.422              1.73638
       18.459              1.69339
       18.495              1.71740
       18.531              1.77104
       18.567              1.73300
       18.604              1.65270
       18.641              1.80342
       18.677              1.72654
       18.713              1.75323
       18.748              1.78580
       18.784              1.75726
       18.820              1.70378
       18.856              1.79285
       18.892              1.71697
