        t [s]          omega [1/s]
        0.200              0.15744
        0.680              0.11200
        1.124              0.19161
        1.419              0.23988
        1.658              0.29150
        1.865              0.31555
        2.055              0.34661
        2.231              0.37128
        2.392              0.40644
        2.543              0.42760
        2.685              0.45732
        2.821              0.46585
        2.953              0.49349
        3.077              0.51674
        3.196              0.53816
        3.313              0.54047
        3.425              0.58276
        3.535              0.55977
        3.641              0.62191
        3.744              0.60822
        3.845              0.63250
        3.943              0.65172
        4.036              0.70157
        4.128              0.65672
        4.222              0.68764
        4.312              0.70093
        4.402              0.70886
        4.490              0.71380
        4.577              0.73208
        4.662              0.74444
        4.745              0.76821
        4.827              0.76717
        4.909              0.77037
        4.991              0.75684
        5.073              0.77959
        5.153              0.79220
        5.231              0.80191
        5.309              0.81578
        5.386              0.82593
        5.461              0.84217
        5.535              0.85785
        5.608              0.85509
        5.682              0.84879
        5.755              0.86421
        5.827              0.89565
        5.897              0.89238
        5.967              0.89491
        6.037              0.91920
        6.105              0.93124
        6.172              0.92742
        6.240              0.93454
        6.306              0.95160
        6.372              0.95963
        6.438              0.94548
        6.503              1.00163
        6.566              0.99563
        6.630              0.94989
        6.693              1.07698
        6.752              1.03030
        6.814              1.01316
        6.875              1.03644
        6.934              1.07656
        6.993              1.06075
        7.054              1.02023
        7.112              1.12269
        7.169              1.08194
        7.227              1.10599
        7.283              1.13460
        7.339              1.12425
        7.395              1.09738
        7.451              1.16218
        7.506              1.12114
        7.561              1.16090
        7.613              1.26874
        7.665              1.15205
        7.721              1.10645
        7.776              1.18163
        7.828              1.21275
        7.880              1.20052
        7.932              1.22364
        7.983              1.23249
        8.034              1.25714
        8.084              1.25483
        8.134              1.23320
        8.185              1.25588
        8.234              1.27965
        8.283              1.28472
        8.333              1.26284
        8.382              1.27413
        8.430              1.32082
        8.478              1.31399
        8.526              1.32313
        8.574              1.30698
        8.621              1.34864
        8.667              1.39300
        8.714              1.28542
        8.761              1.37509
        8.806              1.39926
        8.852              1.36346
        8.897              1.43078
        8.941              1.38887
        8.987              1.36192
        9.033              1.39603
        9.078              1.37810
        9.123              1.44137
        9.167              1.39352
        9.212              1.39864
        9.257              1.39088
        9.302              1.43181
        9.345              1.42688
        9.389              1.45612
        9.433              1.42161
        9.477              1.44409
        9.520              1.45570
        9.563              1.46523
        9.606              1.42580
        9.649              1.49301
        9.693              1.39523
        9.736              1.51121
        9.779              1.44292
        9.822              1.46706
        9.865              1.47972
        9.906              1.56327
        9.948              1.43761
        9.991              1.48036
       10.033              1.48540
       10.076              1.48270
       10.118              1.47829
       10.160              1.50312
       10.202              1.51491
       10.243              1.54944
       10.284              1.53375
       10.325              1.53068
       10.366              1.48986
       10.408              1.52136
       10.449              1.53331
       10.490              1.53850
       10.531              1.55169
       10.571              1.55565
       10.611              1.57364
       10.651              1.58871
       10.691              1.57311
       10.731              1.54621
       10.772              1.56383
       10.811              1.60872
       10.851              1.59144
       10.890              1.58582
       10.929              1.61705
       10.968              1.62765
       11.007              1.60831
       11.046              1.60928
       11.085              1.62684
       11.123              1.62978
       11.162              1.59452
       11.201              1.68064
       11.238              1.65884
       11.277              1.57288
       11.315              1.77280
       11.351              1.68464
       11.389              1.64581
       11.427              1.67407
       11.464              1.72925
       11.501              1.69439
       11.539              1.61887
       11.576              1.77192
       11.612              1.69819
       11.649              1.72606
       11.685              1.76200
       11.721              1.73690
       11.757              1.68642
       11.794              1.77675
       11.830              1.70549
       11.866              1.75643
       11.900              1.91225
       11.935              1.72805
       11.972              1.65124
       12.009              1.75429
       12.044              1.79586
       12.080              1.76924
       12.115              1.79517
       12.150              1.80268
       12.184              1.82875
       12.219              1.81988
       12.254              1.78313
       12.289              1.80685
       12.323              1.83659
       12.358              1.83601
       12.392              1.79710
       12.427              1.80624
       12.461              1.86734
       12.495              1.85225
       12.529              1.85716
       12.563              1.83143
       12.597              1.88466
       12.630              1.94167
       12.663              1.79079
       12.697              1.91347
       12.730              1.94308
       12.763              1.89088
       12.795              1.98327
       12.827              1.91984
       12.860              1.88646
       12.893              1.92967
       12.926              1.90496
       12.958              1.99118
       12.990              1.92265
       13.023              1.92868
       13.056              1.91793
       13.088              1.97144
       13.120              1.96544
       13.152              2.00256
       13.183              1.95519
       13.215              1.98485
       13.247              1.99957
       13.278              2.01267
       13.310              1.95774
       13.341              2.05194
       13.373              1.91763
       13.404              2.07719
       13.435              1.98375
       13.467              2.01629
       13.498              2.03391
       13.528              2.14807
       13.558              1.97221
       13.590              2.03011
       13.621              2.03429
       13.652              2.02791
       13.683              2.02037
       13.714              2.05048
       13.744              2.06307
       13.774              2.10880
       13.804              2.08469
       13.834              2.07431
       13.865              2.01575
       13.896              2.05639
       13.926              2.06762
       13.957              2.06973
       13.987              2.08562
       14.017              2.08987
       14.047              2.10933
       14.077              2.12608
       14.107              2.09982
       14.137              2.06380
       14.167              2.08163
       14.197              2.13845
       14.226              2.11212
       14.256              2.10129
       14.286              2.14016
       14.315              2.14930
       14.345              2.12229
       14.374              2.11953
       14.404              2.13985
       14.433              2.14028
       14.463              2.09080
       14.492              2.19917
       14.521              2.16682
       14.551              2.05043
       14.580              2.30549
       14.608              2.18743
       14.637              2.13455
       14.666              2.16513
       14.694              2.23430
       14.723              2.18291
       14.752              2.08394
       14.781              2.27471
       14.810              2.17720
       14.838              2.21124
       14.866              2.25026
       14.894              2.21738
       14.923              2.14795
       14.952              2.26010
       14.980              2.16657
       15.009              2.22614
       15.036              2.42472
       15.063              2.18342
       15.093              2.08963
       15.122              2.21365
       15.150              2.26290
       15.178              2.22548
       15.206              2.25690
       15.234              2.26058
       15.261              2.29307
       15.289              2.27927
       15.317              2.22627
       15.345              2.25915
       15.372              2.28985
       15.400              2.28859
       15.428              2.23563
       15.456              2.24777
       15.483              2.31782
       15.510              2.29701
       15.538              2.30400
       15.565              2.26508
       15.593              2.33050
       15.619              2.39735
       15.647              2.20221
       15.674              2.36140
       15.701              2.38947
       15.727              2.33021
       15.754              2.43361

