        t [s]          omega [1/s]
        0.303              0.10364
        0.785              0.17571
        1.087              0.25499
        1.312              0.30757
        1.503              0.35596
        1.671              0.39153
        1.823              0.43982
        1.959              0.48721
        2.089              0.47763
        2.213              0.53976
        2.326              0.57487
        2.434              0.58420
        2.537              0.63645
        2.636              0.63858
        2.734              0.64646
        2.828              0.68333
        2.920              0.69416
        3.007              0.74491
        3.092              0.73745
        3.176              0.75700
        3.258              0.76962
        3.338              0.80775
        3.415              0.82010
        3.490              0.85142
        3.564              0.84491
        3.638              0.87145
        3.709              0.89082
        3.779              0.90612
        3.849              0.89111
        3.918              0.94130
        3.986              0.88888
        4.054              0.97214
        4.120              0.93693
        4.186              0.96164
        4.251              0.97879
        4.313              1.04254
        4.376              0.96601
        4.439              1.00220
        4.502              1.01360
        4.564              1.01908
        4.625              1.02348
        4.686              1.04715
        4.745              1.06230
        4.804              1.09324
        4.861              1.08934
        4.919              1.09115
        4.977              1.06976
        5.035              1.09920
        5.092              1.11415
        5.148              1.12365
        5.203              1.14043
        5.258              1.14979
        5.313              1.17031
        5.366              1.18798
        5.419              1.18303
        5.472              1.16945
        5.526              1.18888
        5.578              1.22897
        5.629              1.22154
        5.680              1.22326
        5.731              1.25311
        5.781              1.26775
        5.831              1.25904
        5.880              1.26615
        5.930              1.28593
        5.978              1.29441
        6.027              1.27279
        6.075              1.34610
        6.122              1.33565
        6.170              1.27156
        6.217              1.43860
        6.262              1.37337
        6.308              1.34763
        6.354              1.37577
        6.399              1.42658
        6.443              1.40262
        6.489              1.34617
        6.533              1.47849
        6.577              1.42258
        6.621              1.45203
        6.663              1.48723
        6.706              1.47129
        6.749              1.43318
        6.792              1.51546
        6.834              1.45955
        6.876              1.50921
        6.916              1.64809
        6.956              1.49286
        6.999              1.43214
        7.042              1.52803
        7.082              1.56641
        7.123              1.54832
        7.163              1.57556
        7.203              1.58602
        7.242              1.61441
        7.281              1.60986
        7.320              1.58144
        7.360              1.60848
        7.398              1.63807
        7.437              1.63886
        7.475              1.61281
        7.514              1.62522
        7.552              1.68086
        7.590              1.67272
        7.627              1.68422
        7.665              1.66145
        7.702              1.71129
        7.738              1.76928
        7.775              1.63454
        7.812              1.74918
        7.848              1.77928
        7.884              1.73517
        7.919              1.82089
        7.954              1.76770
        7.990              1.73328
        8.026              1.77759
        8.061              1.75429
        8.096              1.83547
        8.131              1.77599
        8.166              1.78063
        8.202              1.76945
        8.237              1.82297
        8.271              1.81648
        8.306              1.85284
        8.340              1.80960
        8.374              1.83894
        8.408              1.85381
        8.442              1.86715
        8.476              1.81851
        8.510              1.90511
        8.544              1.78207
        8.578              1.93062
        8.611              1.84432
        8.645              1.87485
        8.679              1.89260
        8.711              1.99967
        8.744              1.83835
        8.777              1.89303
        8.810              1.90090
        8.844              1.89662
        8.877              1.89127
        8.910              1.92210
        8.942              1.93635
        8.974              1.98286
        9.006              1.96235
        9.038              1.95092
        9.071              1.90579
        9.104              1.94152
        9.136              1.95825
        9.168              1.96256
        9.200              1.97752
        9.231              1.98632
        9.263              2.00550
        9.294              2.02380
        9.325              2.00406
        9.357              1.96714
        9.389              1.99075
        9.420              2.04578
        9.451              2.02282
        9.482              2.01624
        9.513              2.05436
        9.543              2.06699
        9.574              2.04378
        9.604              2.04077
        9.635              2.06597
        9.666              2.06659
        9.696              2.02206
        9.727              2.12813
        9.756              2.10152
        9.787              1.99128
        9.817              2.24326
        9.846              2.13061
        9.875              2.08168
        9.905              2.11588
        9.935              2.18431
        9.964              2.13961
        9.994              2.04305
       10.023              2.23497
       10.052              2.14114
       10.081              2.17644
       10.110              2.21949
       10.138              2.18820
       10.167              2.12217
       10.196              2.23583
       10.225              2.14432
       10.254              2.21052
       10.281              2.40211
       10.308              2.17077
       10.338              2.07500
       10.367              2.20447
       10.396              2.24979
       10.424              2.22192
       10.452              2.25006
       10.480              2.26044
       10.507              2.29076
       10.535              2.28267
       10.563              2.22912
       10.591              2.26447
       10.618              2.29743
       10.646              2.29638
       10.673              2.24824
       10.701              2.25860
       10.728              2.33369
       10.755              2.31231
       10.783              2.32284
       10.810              2.28476
       10.837              2.35310
       10.863              2.42236
       10.890              2.23397
       10.918              2.38560
       10.944              2.42088
       10.970              2.35761
       10.996              2.46903
       11.022              2.39352
       11.048              2.34346
       11.075              2.40496
       11.101              2.36804
       11.127              2.47629
       11.153              2.39062
       11.179              2.39666
       11.206              2.38211
       11.232              2.45039
       11.257              2.43995
       11.283              2.48648
       11.308              2.42738
       11.334              2.46344
       11.359              2.48187
       11.385              2.49575
       11.410              2.42896
       11.436              2.54471
       11.461              2.37697
       11.486              2.57664
       11.511              2.45843
       11.537              2.50124
       11.562              2.51948
       11.586              2.66200
       11.611              2.44472
       11.636              2.51509
       11.661              2.52067
       11.686              2.51248
       11.711              2.50008
       11.736              2.54178
       11.761              2.55408
       11.785              2.61374
       11.809              2.58089
       11.834              2.57045
       11.858              2.49625
       11.883              2.54817
       11.908              2.55896
       11.932              2.56605
       11.957              2.58098
       11.981              2.58784
       12.005              2.61100
       12.029              2.63218
       12.053              2.60059
       12.078              2.55355
       12.102              2.57699
       12.126              2.64602
       12.150              2.61428
       12.174              2.59996
       12.198              2.64845
       12.222              2.65888
       12.246              2.62564
       12.270              2.62205
       12.293              2.64714
       12.317              2.64668
       12.341              2.58588
       12.365              2.71758
       12.388              2.68017
       12.412              2.53525
       12.436              2.85132
       12.458              2.70385
       12.482              2.63913
       12.506              2.67615
       12.529              2.76213
       12.552              2.69831
       12.575              2.57584
       12.599              2.81028
       12.622              2.69095
       12.645              2.72955
       12.668              2.78078
       12.690              2.73752
       12.714              2.65258
       12.737              2.79040
       12.760              2.67367
       12.783              2.74977
       12.805              2.98494
       12.827              2.69879
       12.851              2.57327
       12.875              2.73493
       12.897              2.78926
       12.920              2.74594
       12.943              2.78264
       12.965              2.78719
       12.988              2.83001
       13.010              2.80754
       13.033              2.74816
       13.055              2.78067
       13.078              2.82596
       13.100              2.81608

