        t [s]          omega [1/s]
        0.069              0.0
        0.519              0.08257
        1.083              0.17102
        1.394              0.24672
        1.636              0.27384
        1.855              0.30334
        2.050              0.34064
        2.224              0.38358
        2.384              0.40451
        2.538              0.41323
        2.679              0.47913
        2.810              0.48225
        2.936              0.51251
        3.056              0.54335
        3.170              0.55389
        3.283              0.55542
        3.392              0.60310
        3.497              0.59469
        3.600              0.62857
        3.695              0.69972
        3.788              0.64616
        3.887              0.63217
        3.982              0.68665
        4.072              0.71566
        4.159              0.71887
        4.245              0.74299
        4.329              0.75867
        4.410              0.78390
        4.490              0.79193
        4.570              0.78830
        4.648              0.81127
        4.724              0.83845
        4.799              0.85062
        4.873              0.84519
        4.947              0.86185
        5.018              0.90113
        5.087              0.90543
        5.156              0.91887
        5.225              0.91697
        5.292              0.95326
        5.357              0.99329
        5.422              0.92554
        5.488              0.99855
        5.550              1.02370
        5.612              1.00567
        5.672              1.06354
        5.732              1.04050
        5.793              1.02745
        5.853              1.06123
        5.912              1.05514
        5.971              1.11063
        6.028              1.08052
        6.086              1.09053
        6.143              1.09191
        6.200              1.13048
        6.255              1.13189
        6.310              1.16121
        6.365              1.13868
        6.420              1.16173
        6.473              1.17548
        6.526              1.18644
        6.580              1.15844
        6.633              1.21714
        6.686              1.14134
        6.739              1.24040
        6.791              1.18819
        6.843              1.21089
        6.895              1.22526
        6.945              1.29723
        6.995              1.19621
        7.047              1.23448
        7.098              1.24239
        7.148              1.24258
        7.199              1.24182
        7.249              1.26499
        7.298              1.27756
        7.347              1.30860
        7.395              1.30095
        7.444              1.29885
        7.492              1.26833
        7.541              1.29863
        7.590              1.31098
        7.637              1.31757
        7.685              1.33204
        7.732              1.33913
        7.779              1.35699
        7.825              1.37162
        7.871              1.36042
        7.917              1.34009
        7.964              1.35780
        8.009              1.39872
        8.054              1.38656
        8.100              1.38413
        8.145              1.41404
        8.189              1.42615
        8.233              1.41189
        8.278              1.41508
        8.322              1.43316
        8.366              1.43761
        8.410              1.41128
        8.453              1.48891
        8.495              1.47306
        8.539              1.39799
        8.582              1.57698
        8.622              1.50087
