        t [s]          omega [1/s]
        0.296              0.10600
        0.802              0.14993
        1.150              0.22723
        1.405              0.27019
        1.624              0.30542
        1.816              0.35085
        1.989              0.37852
        2.146              0.42540
        2.291              0.43771
        2.431              0.46266
        2.564              0.48334
        2.689              0.51943
        2.808              0.53798
        2.922              0.56896
        3.032              0.57343
        3.139              0.60049
        3.242              0.62210
        3.341              0.64241
        3.439              0.64098
        3.534              0.68674
        3.627              0.65632
        3.718              0.72625
        3.806              0.70734
        3.893              0.73181
        3.978              0.75095
        4.059              0.80521
        4.140              0.75087
        4.222              0.78371
        4.301              0.79752
        4.380              0.80523
        4.457              0.81204
        4.534              0.83419
        4.608              0.84915
        4.681              0.87749
        4.753              0.87798
        4.824              0.88225
        4.896              0.86824
        4.967              0.89400
        5.037              0.90792
        5.106              0.91815
        5.174              0.93337
        5.241              0.94264
        5.307              0.96083
        5.372              0.97583
        5.436              0.97270
        5.501              0.96318
        5.566              0.98086
        5.629              1.01610
        5.691              1.01197
        5.753              1.01472
        5.814              1.04143
        5.874              1.05486
        5.933              1.04890
        5.993              1.05548
        6.052              1.07296
        6.111              1.08189
        6.169              1.06462
        6.226              1.12669
        6.282              1.11919
        6.340              1.06656
        6.395              1.20787
        6.449              1.15397
        6.504              1.13352
        6.558              1.15778
        6.612              1.20107
        6.664              1.18241
        6.719              1.13481
        6.772              1.24709
        6.823              1.20132
        6.875              1.22712
        6.925              1.25761
        6.976              1.24419
        7.027              1.21263
        7.077              1.28294
        7.127              1.23668
        7.177              1.27959
        7.224              1.39681
        7.271              1.26666
        7.322              1.21596
        7.372              1.29867
        7.420              1.33197
        7.467              1.31845
        7.514              1.34268
        7.561              1.35237
        7.607              1.37855
        7.653              1.37519
        7.699              1.35051
        7.745              1.37423
        7.790              1.40052
        7.835              1.40317
        7.880              1.37779
        7.926              1.38923
        7.970              1.43877
        8.014              1.43078
        8.058              1.43998
        8.101              1.42214
        8.145              1.46666
        8.187              1.51616
        8.230              1.40049
        8.274              1.49991
        8.315              1.52713
        8.357              1.48897
        8.398              1.56546
        8.439              1.51896
        8.480              1.49628
        8.522              1.53444
        8.563              1.51764
        8.604              1.59070
        8.644              1.54034
        8.684              1.54631
        8.725              1.54078
        8.765              1.58871
        8.805              1.58552
        8.844              1.61978
        8.883              1.58351
        8.923              1.61038
        8.961              1.62667
        9.000              1.63908
        9.039              1.59690
        9.077              1.67526
        9.116              1.56962
        9.154              1.70289
        9.192              1.62755
        9.230              1.65756
        9.268              1.67474
        9.305              1.77154
        9.342              1.62872
        9.380              1.67905
        9.417              1.68782
        9.454              1.68612
        9.492              1.68116
        9.529              1.70945
        9.565              1.72388
        9.601              1.76408
        9.637              1.74596
        9.673              1.73956
        9.710              1.69458
        9.746              1.72913
        9.783              1.74109
        9.819              1.74559
        9.855              1.76151
        9.890              1.76520
        9.926              1.78521
        9.961              1.80103
        9.996              1.78241
       10.031              1.75102
       10.067              1.77008
       10.102              1.81864
       10.137              1.79822
       10.172              1.79311
       10.206              1.82595
       10.241              1.83903
