        t [s]          omega [1/s]
        0.169              0.18539
        0.438              0.31859
        0.606              0.44828
        0.733              0.55018
        0.841              0.62475
        0.935              0.71639
        1.018              0.80425
        1.096              0.79871
        1.170              0.91039
        1.237              0.97625
        1.300              0.99742
        1.361              1.09160
        1.418              1.10157
        1.475              1.11977
        1.529              1.18715
        1.582              1.20806
        1.632              1.29978
        1.680              1.28956
        1.728              1.32608
        1.775              1.35122
        1.821              1.42209
        1.864              1.44573
        1.907              1.50433
        1.949              1.49601
        1.990              1.54663
        2.030              1.58602
        2.070              1.62227
        2.108              1.60500
        2.146              1.70657
        2.184              1.61950
        2.221              1.77982
        2.257              1.72305
        2.293              1.77372
        2.328              1.81301
        2.362              1.93810
        2.395              1.79995
        2.430              1.87495
        2.463              1.90216
        2.496              1.91621
        2.528              1.92883
        2.561              1.97742
        2.592              2.00981
        2.623              2.06996
        2.653              2.07145
        2.684              2.07500
        2.714              2.03961
        2.745              2.09588
        2.774              2.12662
        2.804              2.14709
        2.833              2.17834
        2.861              2.20234
        2.890              2.23770
        2.918              2.27333
        2.945              2.26228
        2.973              2.23770
        3.001              2.27671
        3.028              2.35162
        3.055              2.34076
        3.082              2.34237
        3.108              2.40226
        3.134              2.42738
        3.160              2.41301
        3.186              2.42291
        3.212              2.46150
        3.238              2.47294
        3.263              2.43638
        3.288              2.57019
        3.313              2.55347
        3.338              2.42652
        3.362              2.74786
        3.386              2.61839
        3.410              2.57010
        3.434              2.62059
        3.458              2.71777
        3.481              2.67101
        3.505              2.56062
        3.529              2.81028
        3.551              2.70200
        3.574              2.75563
        3.597              2.82032
        3.619              2.78874
        3.642              2.71521
        3.665              2.86691
        3.687              2.75939
        3.709              2.85327
        3.731              3.10872
        3.752              2.81958
        3.775              2.70006
        3.797              2.87792
        3.819              2.94924
        3.840              2.91700
        3.862              2.96335
        3.883              2.98268
        3.904              3.03607
        3.924              3.02554
        3.945              2.96992
        3.966              3.01677
        3.987              3.07493
        4.007              3.07669
        4.028              3.01896
        4.049              3.04508
        4.069              3.14576
        4.089              3.13196
        4.109              3.14840
        4.129              3.10447
        4.149              3.20493
        4.168              3.30496
        4.188              3.05413
        4.208              3.26879
        4.227              3.32652
        4.246              3.24081
        4.265              3.40431
        4.284              3.30657
        4.303              3.24081
        4.322              3.32918
        4.341              3.29219
        4.360              3.44324
        4.378              3.33243
        4.397              3.34448
        4.416              3.33303
        4.435              3.43378
        4.453              3.42422
        4.471              3.49575
        4.489              3.41891
        4.507              3.47694
        4.525              3.50785
        4.543              3.53464
        4.561              3.44689
        4.579              3.61248
        4.597              3.38449
        4.615              3.67211
        4.632              3.50966
        4.650              3.57510
        4.668              3.61004
        4.685              3.81778
        4.702              3.51262
        4.719              3.62050
        4.737              3.63261
        4.754              3.63331
        4.771              3.62155
        4.789              3.67986
        4.806              3.71101
        4.822              3.79882
        4.839              3.75958
        4.856              3.74418
        4.873              3.65030
        4.890              3.72428
        4.906              3.75149
        4.923              3.76184
        4.940              3.79306
        4.956              3.80422
        4.973              3.85013
        4.989              3.87882
        5.005              3.84047
        5.022              3.77834
        5.038              3.81545
        5.055              3.91978
        5.071              3.88283
        5.087              3.86542
        5.103              3.93583
        5.119              3.96016
        5.135              3.91896
        5.151              3.91712
        5.167              3.95389
        5.183              3.96246
        5.199              3.87601
        5.215              4.07511
        5.230              4.02566
        5.246              3.81196
        5.262              4.29159
        5.277              4.07599
        5.292              3.98542
        5.308              4.04542
        5.323              4.17450
        5.339              4.09000
        5.354              3.90346
        5.370              4.26668
        5.385              4.08978
        5.400              4.15345
        5.415              4.23462
        5.430              4.17241
        5.445              4.04957
        5.460              4.26037
        5.475              4.08644
        5.491              4.20942
        5.505              4.57971
        5.519              4.13216
        5.535              3.94994
        5.550              4.19858
        5.565              4.28889
        5.580              4.21842
        5.595              4.28154
        5.609              4.29823
        5.624              4.35744
        5.638              4.32901
        5.653              4.24085
        5.668              4.30070
        5.682              4.36099
        5.697              4.35871
        5.711              4.26668
        5.726              4.28595
        5.740              4.42561
        5.755              4.38805
        5.769              4.40118
        5.783              4.33426
        5.798              4.45189
        5.811              4.58363
        5.826              4.22985
        5.840              4.52361
        5.854              4.58587
        5.868              4.45427
        5.882              4.67947
        5.895              4.53757
        5.909              4.43346
        5.923              4.54087
        5.937              4.48384
        5.951              4.68093
        5.965              4.51489
        5.978              4.52853
        5.992              4.50188
        6.006              4.62862
        6.020              4.60304
        6.033              4.69765
        6.047              4.58531
        6.060              4.64929
        6.074              4.68883
        6.087              4.71419
        6.101              4.58503
        6.114              4.80145
        6.128              4.48921
        6.141              4.85744
        6.154              4.64295
        6.168              4.71834
        6.181              4.75546
        6.194              5.02445
        6.207              4.61523
        6.220              4.74913
        6.234              4.76301
        6.247              4.74672
        6.260              4.73055
        6.273              4.79868
        6.286              4.83208
        6.299              4.93905
        6.312              4.88371
        6.325              4.85367
        6.338              4.72489
        6.351              4.82028
        6.364              4.84520
        6.377              4.84865
        6.390              4.88816
        6.403              4.89678
        6.416              4.94295
        6.428              4.97774
        6.441              4.91831
        6.454              4.82928
        6.467              4.88402
        6.480              5.01135
        6.492              4.94785
        6.505              4.91992
        6.518              5.01671
        6.530              5.04270
        6.543              4.96719
        6.555              4.96160
        6.568              5.01638
        6.580              5.01470
        6.593              4.89615
        6.606              5.14055
        6.618              5.07650
        6.631              4.80360
        6.643              5.39856
        6.655              5.12054
        6.667              4.99798
        6.680              5.07685
        6.692              5.23276
        6.704              5.11250
        6.717              4.87767
        6.729              5.32569
        6.741              5.09964
        6.753              5.17425
        6.765              5.27139
        6.777              5.18822
        6.790              5.02917
        6.802              5.28589
        6.814              5.06964
        6.826              5.21275
        6.838              5.66109
        6.850              5.11181
        6.862              4.87608
        6.875              5.17926
        6.887              5.28365
        6.899              5.19649
        6.911              5.26695
        6.923              5.27547
        6.934              5.35537
        6.946              5.31211
        6.958              5.19433
        6.970              5.26030
        6.982              5.33935
        6.994              5.32645
        7.006              5.20696

